Altium Designer Pick and Place Locations
D:\Applications\hardware\pca20020\trunk\production_files\400182_pick_and_place.txt

========================================================================================================================
File Design Information:

Date:       06.05.19
Time:       10.48
Revision:   16398
Variant:    No variations
Units used: mm

Designator Comment            Layer       Footprint                             Center-X(mm) Center-Y(mm) Rotation Description                                                                       
R31        100k               BottomLayer RESC1005X04L                          29.3624      38.3286      180      "Resistor, ±1%, 0.063W"                                                           
R30        100k               BottomLayer RESC1005X04L                          37.5158      49.1998      270      "Resistor, ±1%, 0.063W"                                                           
R29        100k               BottomLayer RESC1005X04L                          29.3624      37.4142      180      "Resistor, ±1%, 0.063W"                                                           
R3         1M0                BottomLayer RESC1005X04L                          28.6258      48.9712      90       "Resistor, ±1%, 0.063W"                                                           
Q1         DMC2400UV          BottomLayer SOTFL50P162X60-6N                     30.3784      48.8442      180      "Dual N & P Ch MOFET, 1.03A/0.7A, 480mOhm, 450mW"                                 
C35        150pF              BottomLayer CAPC1005X04L                          31.1150      36.2712      360      "Capacitor, NP0, ±5%"                                                             
Fid3       "Fiducial mark"    TopLayer    Fiducial_Round-Square                 6.1000       49.0000      90       "Fiducial Mark"                                                                   
U13        TCK106AF           BottomLayer SOT95P280X140-5N                      26.2636      47.0662      90       "1.0 A Load Switch IC with Slew Rate Control Driver in Small Package"             
L6         220µH              BottomLayer INDP4040X25N                          36.0680      32.1564      270      "Inductor, ±20%, 200mA, 2.76 Ohm"                                                 
C37        220nF              BottomLayer CAPC1005X04L                          44.7294      34.2900      360      "Capacitor, X7R, ±10%"                                                            
R24        4k7                BottomLayer RESC1005X04L                          8.6106       30.7848      270      "Resistor, ±1%, 0.063W"                                                           
R25        4k7                BottomLayer RESC1005X04L                          8.6106       28.8544      90       "Resistor, ±1%, 0.063W"                                                           
R21        180k               BottomLayer RESC1005X04L                          31.1658      41.9862      90       "Resistor, ±1%, 0.063W"                                                           
R20        1M5                BottomLayer RESC1005X04L                          30.2006      41.9862      270      "Resistor, ±1%, 0.063W"                                                           
U16        XC6804A4E1         BottomLayer USP-6EL                               10.3632      39.1160      270      "One Cell Li-ion/Li-polymer Linear Charger IC with Battery Temperature Detection" 
C16        100nF              BottomLayer CAPC1005X04L                          21.7968      26.1387      270      "Capacitor, X7R, ±10%"                                                            
U2         SX1509BIULTRT      BottomLayer QFN40P400X400X60_HS-29N               18.3134      26.1112      270      "IC GPIO EXPANDER I2C 16CH 28QFN"                                                 
R1         10k                BottomLayer RESC1005X04L                          15.0912      24.7417      270      "Resistor, ±1%, 0.063W"                                                           
C15        100nF              BottomLayer CAPC1005X04L                          18.4948      22.8113      180      "Capacitor, X7R, ±10%"                                                            
C39        100nF              BottomLayer CAPC1005X04L                          6.1976       25.0444      360      "Capacitor, X7R, ±10%"                                                            
C38        10µF               BottomLayer CAPC1608X06L                          6.4262       23.9776      360      "Capacitor, X5R, ±20%"                                                            
C26        100nF              BottomLayer CAPC1005X04L                          27.1018      1.7018       90       "Capacitor, X7R, ±10%"                                                            
C28        1.0µF              BottomLayer CAPC1005X04L                          20.1114      6.3562       180      "Capacitor, X5R, ±5%, 6.3V"                                                       
C29        100nF              BottomLayer CAPC1005X04L                          16.7640      6.9596       360      "Capacitor, X7R, ±10%"                                                            
C14        100nF              BottomLayer CAPC1005X04L                          18.1138      29.2375      360      "Capacitor, X7R, ±10%"                                                            
FB1        600R/0.5A          BottomLayer INDC1608X06L                          45.1612      14.7828      180      "Ferrite Bead, 600 Ohm @ 100MHz, 500mA, 380 mOhm Max"                             
Q6         DMN3190LDW         BottomLayer SOT-363                               11.2372      20.3580      180      "Dual N Ch MOFET, 1A, 190mOhm, 320mW"                                             
Q7         DMN3190LDW         BottomLayer SOT-363                               6.1572       20.3580      180      "Dual N Ch MOFET, 1A, 190mOhm, 320mW"                                             
U7         HTS221             BottomLayer HLGA100P200X200X100-6N                29.1084      2.6924       0        "Capacitive digital sensor for relative humidity and temperature"                 
U9         CCS811             BottomLayer LGA60P270X400X110_HS-11N              21.5084      9.4042       180      "Ultra-low power digital gas sensor for monitoring indoor air quality"            
U10        NX3DV2567          BottomLayer XQFN40P180X260X50-16N                 16.8910      9.3472       360      "Low-ohmic four-pole double-throw analog switch"                                  
C40        1.0µF              BottomLayer CAPC1608X06L                          10.4902      41.6306      180      "Capacitor, X7R, ±10%"                                                            
R13        10k                BottomLayer RESC1005X04L                          9.4742       35.0266      270      "Resistor, ±1%, 0.063W"                                                           
