Altium Designer Pick and Place Locations
C:\Applications\hardware\pca20053\tags\1.1.0\production_files\400501_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       07-07-23
Time:       13:13
Revision:   29688
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"LABEL","8x32mm","TopLayer","LabelSilk_8x32","-75.1690","-50.5126","270","PCA version label, stick-on, 8x32mm"
"U16","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","1.7500","30.4000","180","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"U20","SLG59M1448V","TopLayer","SLG59M1448V","16.5250","47.3250","90","Ultra-small Dual 17 m?, 2.5 A Load Switc with Discharge"
"R20","82k","TopLayer","RESC0603X03L_C","17.7500","47.9500","270","Resistor, ±1%, 0.05W"
"R19","160k","TopLayer","RESC0603X03L_C","18.3250","46.7439","270","Resistor, ±1%, 0.05W"
"R8","110k","TopLayer","RESC0603X03L_C","17.7500","46.7500","270","Resistor, ±1%, 0.05W"
"Q1","DMP2004VK","TopLayer","SOTFL50P162X60-6N","16.3292","45.0750","270","Dual 2 P-Channel MOSFET, 530mA, 900mOhm, 400mW, 20V"
"D6","BAS716","TopLayer","SOD-523","17.9000","44.3750","270","Low-leakage diode, Diode gen. purpose, Vf=1.25 V @ 150 mA, Ir=5.0 nA @ 75 V, If=200 mA"
"D5","BAS716","TopLayer","SOD-523","14.8750","44.4750","270","Low-leakage diode, Diode gen. purpose, Vf=1.25 V @ 150 mA, Ir=5.0 nA @ 75 V, If=200 mA"
"C62","2.2nF","TopLayer","CAPC0603X03L_C","16.0401","48.3374","180","Capacitor, X7R, ±10%, 10V"
"C61","100nF","TopLayer","CAPC0603X03L_C","1.2750","28.4500","180","Capacitor, X5R, ±10%"
"R18","1k","BottomLayer","RESC0603X03L_C","28.8000","43.7250","180","Resistor, ±1%, 0.05W"
"C33","1.0µF","BottomLayer","CAPC1005X04L","26.8000","43.8317","0","Capacitor, Ceramic, X5R, ±10%, 25V"
"R6","33k","TopLayer","RESC0603X03L_C","39.9625","15.2101","270","Resistor, ±1%, 0.05W"
"R2","49R9","TopLayer","RESC1005X04L","44.5750","12.7309","180","Resistor, ±1%, 0.063W"
"C11","100nF","TopLayer","CAPC0603X03L_C","22.5770","6.6254","270","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"C10","100nF","TopLayer","CAPC0603X03L_C","18.8254","8.7254","270","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"C8","100nF","TopLayer","CAPC0603X03L_C","18.8254","13.6254","270","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"X2","32.768kHz","TopLayer","XTAL_2012","17.2254","11.9254","270","XTAL SMD 2012, 32.768kHz, 9pF, ±20ppm"
"C9","100nF","TopLayer","CAPC0603X03L_C","18.8254","11.2004","270","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"C12","100nF","TopLayer","CAPC0603X03L_C","25.5753","6.6254","270","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"TP47","Ø0.7mm,SMD","TopLayer","TP_SMD_D0.7mm","36.5000","31.5000","0","0.7mm circular SMD testpad"
"R30","N.C.","BottomLayer","RESC0603X03L_C_NC","19.0000","44.9500","270","Not mounted"
"U17","PE4259","TopLayer","SOT65P210X100-6N","32.1502","12.5002","180","SPDT High Power UltraCMOS® 10 MHz–3.0 GHz RF Switch"
"U19","TCK106AG","BottomLayer","BGA4C40P2X2_76X76X62","23.0000","36.7500","180","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"U18","FSA2466UMX","BottomLayer","XQFN40P180X260X50-16N","36.3500","37.2500","0","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"C60","100nF","BottomLayer","CAPC0603X03L_C","35.4750","34.8500","180","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"C49","100nF","TopLayer","CAPC0603X03L_C","31.8500","10.7750","180","Capacitor, Ceramic, X5R, ±10%, 6.3V"
"TP46","Ø0.7mm,SMD","TopLayer","TP_SMD_D0.7mm","31.4500","36.7750","0","0.7mm circular SMD testpad"
"TP45","Ø0.7mm,SMD","TopLayer","TP_SMD_D0.7mm","33.5000","36.7750","0","0.7mm circular SMD testpad"
"R29","1M0","BottomLayer","RESC0603X03L_C","21.4000","21.2000","270","Resistor, ±1%, 0.05W"
"R28","1M0","BottomLayer","RESC0603X03L_C","30.8250","44.7250","90","Resistor, ±1%, 0.05W"
"R27","5k1","BottomLayer","RESC0603X03L_C","8.2000","28.8500","180","Resistor, ±1%, 0.05W"
"R16","5k1","BottomLayer","RESC0603X03L_C","8.1750","32.6250","180","Resistor, ±1%, 0.05W"
"TP44","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","16.0000","50.0000","0","1.5mm circular SMD testpad"
"TP16","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","14.8750","42.1750","0","1.5mm circular SMD testpad"
"TP41","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","32.0000","8.5000","0","1.5mm circular SMD testpad"
"TP42","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","34.0000","21.0000","0","1.5mm circular SMD testpad"
"TP43","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","37.0000","21.0000","0","1.5mm circular SMD testpad"
"TP40","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","37.0000","24.0000","0","1.5mm circular SMD testpad"
"TP39","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","34.0000","24.0000","0","1.5mm circular SMD testpad"
"R25","1M0","TopLayer","RESC0603X03L_C","18.9250","22.9750","0","Resistor, ±1%, 0.05W"
"R24","1M0","TopLayer","RESC0603X03L_C","19.4500","26.2250","180","Resistor, ±1%, 0.05W"
"Q7","DMC2400UV","TopLayer","SOTFL50P162X60-6N","19.2000","24.5750","90","Dual N & P Ch MOFET, 1.03A/0.7A, 480mOhm, 450mW"
"R26","1M0","BottomLayer","RESC0603X03L_C","15.8750","39.6750","0","Resistor, ±1%, 0.05W"
"TP38","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","23.9996","37.4276","0","1.5mm circular SMD testpad"
"TP37","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","26.9996","37.4276","0","1.5mm circular SMD testpad"
"SB4","Solderbridge","BottomLayer","Solderbridge","30.1750","35.7250","180","Solderbridge"
"SB3","Solderbridge","BottomLayer","Solderbridge","29.0250","35.0000","180","Solderbridge"
"R15","180k","TopLayer","RESC0603X03L_C","20.5000","25.2750","270","Resistor, ±1%, 0.05W"
